Image;Perspective;Segmented;Similarity;Area Original Mask;Area Mask
BraTS20_Training_001;Coronal;True;0.06480497304880173;23165.5;21903.5
BraTS20_Training_001;Axial;True;0.0877198064737788;19169.5;15156.5
BraTS20_Training_001;Sagittal;True;0.34207455606734694;22505.0;11848.5
BraTS20_Training_002;Coronal;True;0.07005050576501604;10969.0;8690.0
BraTS20_Training_002;Axial;True;0.08157070224930732;7165.5;6181.5
BraTS20_Training_002;Sagittal;True;0.023044874079618888;13542.0;12090.5
BraTS20_Training_003;Coronal;True;0.16834869146834375;4388.0;3383.5
BraTS20_Training_003;Axial;True;0.08457211765532646;3281.5;2326.5
BraTS20_Training_003;Sagittal;True;0.10035706501533787;5653.0;3598.0
BraTS20_Training_004;Coronal;True;0.08010724057378535;14948.5;11196.5
BraTS20_Training_004;Axial;True;0.9017022612824179;9973.5;4097.5
BraTS20_Training_004;Sagittal;True;0.10925131292893905;19837.0;13407.0
BraTS20_Training_005;Coronal;True;0.04828963930323624;14641.0;6144.0
BraTS20_Training_005;Axial;True;0.2740783042520472;11015.0;4869.0
BraTS20_Training_005;Sagittal;False;0.0;0.0;0.0
BraTS20_Training_006;Coronal;False;0.0;0.0;0.0
BraTS20_Training_006;Axial;True;0.09279609504272313;14724.0;10648.5
BraTS20_Training_006;Sagittal;True;0.04624933960779745;30308.0;23622.5
BraTS20_Training_007;Coronal;False;0.0;0.0;0.0
BraTS20_Training_007;Axial;True;0.05166265222308705;6902.5;4929.5
BraTS20_Training_007;Sagittal;True;0.29960861450557713;10267.5;8078.0
BraTS20_Training_008;Coronal;True;0.8426476464474457;2825.5;2718.0
BraTS20_Training_008;Axial;True;0.8247502472760612;1952.5;874.5
BraTS20_Training_008;Sagittal;True;0.1032230146842715;1915.5;1030.5
BraTS20_Training_009;Coronal;False;0.0;0.0;0.0
BraTS20_Training_009;Axial;True;0.13524021836914232;28299.5;16136.5
BraTS20_Training_009;Sagittal;False;0.0;0.0;0.0
BraTS20_Training_010;Coronal;True;0.02949297931241357;7440.5;6017.5
BraTS20_Training_010;Axial;True;0.20769803393377545;5002.0;2890.0
BraTS20_Training_010;Sagittal;True;0.06417534363614641;7619.0;3830.0
BraTS20_Training_011;Coronal;True;0.08032015470892781;10084.0;7270.0
BraTS20_Training_011;Axial;True;0.12074888532373385;6789.5;3632.5
BraTS20_Training_011;Sagittal;True;0.043999885848373665;11417.5;6095.5
BraTS20_Training_012;Coronal;True;0.030184163016923504;7406.5;4880.0
BraTS20_Training_012;Axial;True;0.05703602911792244;5939.0;4039.0
BraTS20_Training_012;Sagittal;True;0.06888843581872295;8431.5;5171.0
BraTS20_Training_013;Coronal;False;0.0;0.0;0.0
BraTS20_Training_013;Axial;True;1.6462726755882635;8418.0;4190.5
BraTS20_Training_013;Sagittal;False;0.0;0.0;0.0
BraTS20_Training_014;Coronal;True;0.025888201903299435;16486.0;11548.0
BraTS20_Training_014;Axial;True;0.13060684753312657;17225.0;6149.5
BraTS20_Training_014;Sagittal;True;0.13111937941162383;20561.0;9737.0
BraTS20_Training_015;Coronal;True;0.19089341619454336;11881.0;4919.5
BraTS20_Training_015;Axial;True;0.10754733232815172;10259.5;5893.5
BraTS20_Training_015;Sagittal;True;0.28905389219980526;16509.5;7940.5
BraTS20_Training_016;Coronal;False;0.0;0.0;0.0
BraTS20_Training_016;Axial;True;0.13801187490604408;16023.0;9026.0
BraTS20_Training_016;Sagittal;True;0.08123591178369066;23466.0;14300.0
BraTS20_Training_017;Coronal;True;1.655171647228554;10673.0;6839.0
BraTS20_Training_017;Axial;True;0.3306057846219039;10177.5;5743.0
BraTS20_Training_017;Sagittal;True;0.535263237348059;14297.0;5932.5
BraTS20_Training_018;Coronal;True;1.033162022845688;3334.0;2492.5
BraTS20_Training_018;Axial;True;0.13371863185081773;2086.5;934.5
BraTS20_Training_018;Sagittal;True;0.5272977944741428;4636.0;1539.0
BraTS20_Training_019;Coronal;True;0.1323489232942498;12827.0;9101.5
BraTS20_Training_019;Axial;True;0.3773208558148589;8807.5;4859.0
BraTS20_Training_019;Sagittal;False;0.0;0.0;0.0
BraTS20_Training_020;Coronal;False;0.0;0.0;0.0
BraTS20_Training_020;Axial;False;0.0;0.0;0.0
BraTS20_Training_020;Sagittal;False;0.0;0.0;0.0
BraTS20_Training_021;Coronal;False;0.0;0.0;0.0
BraTS20_Training_021;Axial;True;0.25940793030216025;4131.5;1037.0
BraTS20_Training_021;Sagittal;False;0.0;0.0;0.0
BraTS20_Training_022;Coronal;False;0.0;0.0;0.0
BraTS20_Training_022;Axial;True;0.11662079065367636;11968.5;7688.5
BraTS20_Training_022;Sagittal;True;0.3869575559372894;20535.5;8884.0
BraTS20_Training_023;Coronal;True;0.07777551216203654;13188.0;9013.0
BraTS20_Training_023;Axial;True;0.07390204008944556;8516.0;6173.5
BraTS20_Training_023;Sagittal;True;0.031888784537793646;15142.5;10381.5
BraTS20_Training_024;Coronal;True;0.07651004501490197;21054.0;8954.0
BraTS20_Training_024;Axial;True;0.1701349123865239;15884.5;5965.0
BraTS20_Training_024;Sagittal;True;0.4288430046952258;27115.0;9950.0
BraTS20_Training_025;Coronal;True;0.5116933564794578;20985.5;14480.0
BraTS20_Training_025;Axial;True;0.04176652364455222;10464.5;9335.0
BraTS20_Training_025;Sagittal;True;1.4027653469414523;25527.0;10855.5
BraTS20_Training_026;Coronal;True;0.19569539511763306;23488.0;10023.0
BraTS20_Training_026;Axial;True;0.5523604353726097;18558.5;6721.5
BraTS20_Training_026;Sagittal;True;0.24072779499055147;27698.0;9458.0
BraTS20_Training_027;Coronal;True;0.16430250607765265;18731.0;12265.0
BraTS20_Training_027;Axial;True;0.13912573974149461;12023.0;8213.0
BraTS20_Training_027;Sagittal;True;0.2901537994740202;20940.5;11018.5
BraTS20_Training_028;Coronal;True;0.7906235475727714;10765.5;5108.5
BraTS20_Training_028;Axial;False;0.0;0.0;0.0
BraTS20_Training_028;Sagittal;False;0.0;0.0;0.0
