Image;Perspective;Segmented;Similarity;Area Original Mask;Area Mask;Difference Between Masks;Percentage Over Original Mask Total Area
BraTS20_Training_001;Coronal;True;0,047112719647820545;23165.5;23476.0;1785;7,596714474188195
BraTS20_Training_001;Axial;True;0,11768036443584179;19169.5;15966.0;3505;18,02890797798467
BraTS20_Training_001;Sagittal;True;0,13988273616984925;22505.0;14959.0;7691;33,607166266113175
BraTS20_Training_002;Coronal;True;0,07357364153826274;10969.0;8770.5;2288;20,36311854752581
BraTS20_Training_002;Axial;True;0,08615592145766987;7165.5;6276.0;1228;16,75764192139738
BraTS20_Training_002;Sagittal;True;0,0396031203772646;13542.0;12234.0;1811;13,140327964011028
BraTS20_Training_003;Coronal;True;0,18811411379898818;4388.0;3495.5;1059;23,42920353982301
BraTS20_Training_003;Axial;True;0,15721661459066882;3281.5;2450.5;906;26,773049645390074
BraTS20_Training_003;Sagittal;True;0,10152192304912855;5653.0;3649.0;2068;35,53264604810997
BraTS20_Training_004;Coronal;True;0,07295949146549913;14948.5;11564.5;3554;23,393891521853607
BraTS20_Training_004;Axial;True;0,485573828814068;9973.5;5139.0;4835;47,61201378631216
BraTS20_Training_004;Sagittal;True;0,1026303502340565;19837.0;13795.5;6088;30,29307856894064
BraTS20_Training_005;Coronal;True;0,14588456341634992;14641.0;6853.5;7977;53,29013294141225
BraTS20_Training_005;Axial;True;0,36296241893320025;11015.0;5400.5;6041;53,45544642067074
BraTS20_Training_005;Sagittal;False;0;0.0;0.0;0;0
BraTS20_Training_006;Coronal;False;0;0.0;0.0;0;0
BraTS20_Training_006;Axial;True;0,04999500195755108;14724.0;11748.0;3403;22,754931461049814
BraTS20_Training_006;Sagittal;True;0,05672730964310485;30308.0;24752.0;5703;18,56566182694186
BraTS20_Training_007;Coronal;False;0;0.0;0.0;0;0
BraTS20_Training_007;Axial;True;0,06936777050950382;6902.5;5040.0;1993;28,094164082323093
BraTS20_Training_007;Sagittal;True;0,31337015212598657;10267.5;8515.0;3093;29,311978771796817
BraTS20_Training_008;Coronal;True;0,8207930518735999;2825.5;2919.0;777;26,276631721339193
BraTS20_Training_008;Axial;True;0,8315547224366507;1952.5;876.5;1136;55,0921435499515
BraTS20_Training_008;Sagittal;True;0,09551380756810116;1915.5;1038.0;904;45,222611305652826
BraTS20_Training_009;Coronal;False;0;0.0;0.0;0;0
BraTS20_Training_009;Axial;True;0,05177165164653691;28299.5;17768.0;10920;38,1151832460733
BraTS20_Training_009;Sagittal;False;0;0.0;0.0;0;0
BraTS20_Training_010;Coronal;True;0,08724195041975813;7440.5;6732.0;1031;13,567574680879064
BraTS20_Training_010;Axial;True;0,2170334675316269;5002.0;3134.5;1903;37,13895394223263
BraTS20_Training_010;Sagittal;True;0,049506911517300634;7619.0;3945.0;3740;47,89959016393443
BraTS20_Training_011;Coronal;True;0,10728967449661858;10084.0;7674.0;3006;28,990259427138586
BraTS20_Training_011;Axial;True;0,18399629442148757;6789.5;3788.5;3162;45,177882554650665
BraTS20_Training_011;Sagittal;True;0,08576253199205863;11417.5;6346.5;5388;45,87874659400545
BraTS20_Training_012;Coronal;True;0,0641740279801103;7406.5;5167.0;2353;31,087329898269257
BraTS20_Training_012;Axial;True;0,09342418754476839;5939.0;4184.0;1886;30,978975032851512
BraTS20_Training_012;Sagittal;True;0,06343715956496485;8431.5;5645.0;2924;33,862188766647364
BraTS20_Training_013;Coronal;False;0;0.0;0.0;0;0
BraTS20_Training_013;Axial;True;0,03794168099437062;8418.0;7470.0;1654;19,239269512620684
BraTS20_Training_013;Sagittal;False;0;0.0;0.0;0;0
BraTS20_Training_014;Coronal;True;0,050640722826410745;16486.0;12427.0;4739;28,23690639337425
BraTS20_Training_014;Axial;True;0,04186325996763532;17225.0;7076.5;10643;60,751184428334945
BraTS20_Training_014;Sagittal;True;0,10533039488252069;20561.0;10711.0;10006;47,861857839854586
BraTS20_Training_015;Coronal;True;0,23413960787930357;11881.0;5876.5;6157;50,516901870692486
BraTS20_Training_015;Axial;True;0,14878635867938883;10259.5;6573.0;3890;37,09708182338356
BraTS20_Training_015;Sagittal;True;0,2829423279162282;16509.5;8096.0;8545;50,86612298351092
BraTS20_Training_016;Coronal;False;0;0.0;0.0;0;0
BraTS20_Training_016;Axial;True;0,1458862841194551;16023.0;9246.5;6825;41,98966408268734
BraTS20_Training_016;Sagittal;True;0,07558310515055622;23466.0;14492.5;9233;38,5559777842736
BraTS20_Training_017;Coronal;True;1,765018013813354;10673.0;7416.5;4104;37,44867232411717
BraTS20_Training_017;Axial;True;0,0719887499353688;10177.5;7261.5;3369;32,466030644694996
BraTS20_Training_017;Sagittal;True;0,15956529712285802;14297.0;8040.0;6423;43,91794871794872
BraTS20_Training_018;Coronal;True;0,5072011441300495;3334.0;2907.0;1140;32,78688524590164
BraTS20_Training_018;Axial;True;0,1750941660139837;2086.5;963.5;1160;53,35786568537259
BraTS20_Training_018;Sagittal;True;0,517413851584102;4636.0;1548.5;3181;66,36761944502399
BraTS20_Training_019;Coronal;True;0,11981956822001733;12827.0;9728.0;3443;26,196454386365364
BraTS20_Training_019;Axial;True;0,2679663814654818;8807.5;6939.0;2431;27,083333333333332
BraTS20_Training_019;Sagittal;False;0;0.0;0.0;0;0
BraTS20_Training_020;Coronal;False;0;0.0;0.0;0;0
BraTS20_Training_020;Axial;False;0;0.0;0.0;0;0
BraTS20_Training_020;Sagittal;False;0;0.0;0.0;0;0
BraTS20_Training_021;Coronal;False;0;0.0;0.0;0;0
BraTS20_Training_021;Axial;True;0,29716885330593784;4131.5;1073.0;3192;74,28438445427042
BraTS20_Training_021;Sagittal;False;0;0.0;0.0;0;0
BraTS20_Training_022;Coronal;False;0;0.0;0.0;0;0
BraTS20_Training_022;Axial;True;0,1131026355115774;11968.5;7890.5;4207;34,537394302602415
BraTS20_Training_022;Sagittal;True;0,09572257613086133;20535.5;11150.0;9540;45,65248600277552
BraTS20_Training_023;Coronal;True;0,06392831270558069;13188.0;9297.5;4169;30,931889004303308
BraTS20_Training_023;Axial;True;0,06896210416590631;8516.0;6447.5;2099;24,187600829684257
BraTS20_Training_023;Sagittal;True;0,03064819937998886;15142.5;10437.0;4789;31,08730931515742
BraTS20_Training_024;Coronal;True;0,07531769455982659;21054.0;9250.5;12100;56,226765799256505
BraTS20_Training_024;Axial;True;0,2356474143184105;15884.5;6804.0;9239;56,971079731146325
BraTS20_Training_024;Sagittal;True;0,45928329745454605;27115.0;10572.0;17082;61,46815401223462
BraTS20_Training_025;Coronal;True;0,39705671640639917;20985.5;17100.0;7606;35,75424246697692
BraTS20_Training_025;Axial;True;0,044791504797894316;10464.5;9413.0;1166;10,955557643521562
BraTS20_Training_025;Sagittal;True;0,03538983704799928;25527.0;20503.5;5102;19,723972629218693
BraTS20_Training_026;Coronal;True;0,19491266019749554;23488.0;10583.5;13123;54,99078109285954
BraTS20_Training_026;Axial;True;0,5609875161683902;18558.5;6840.5;12020;63,44681974135656
BraTS20_Training_026;Sagittal;True;0,248574527251257;27698.0;9620.0;18365;65,23515203182723
BraTS20_Training_027;Coronal;True;0,08235149621781512;18731.0;13305.0;6646;34,80310012568077
BraTS20_Training_027;Axial;True;0,15160375255381608;12023.0;8654.0;3687;30,144714250674514
BraTS20_Training_027;Sagittal;True;0,08758355958614275;20940.5;16534.0;5502;25,87715172608409
BraTS20_Training_028;Coronal;True;0,11897966164637169;10765.5;8481.5;2752;25,10948905109489
BraTS20_Training_028;Axial;False;0;0.0;0.0;0;0
BraTS20_Training_028;Sagittal;False;0;0.0;0.0;0;0
BraTS20_Training_029;Coronal;True;0,14634746249486136;7616.5;6960.5;1028;13,226968605249615
BraTS20_Training_029;Axial;True;0,057947653187539305;5233.5;3838.5;1415;26,345187115993298
BraTS20_Training_029;Sagittal;True;0,04599929961532201;6760.0;4790.5;2032;29,254247048661096
BraTS20_Training_030;Coronal;False;0;0.0;0.0;0;0
BraTS20_Training_030;Axial;False;0;0.0;0.0;0;0
BraTS20_Training_030;Sagittal;False;0;0.0;0.0;0;0
BraTS20_Training_031;Coronal;True;0,40010791233836623;24447.0;7082.0;17726;71,08312948630548
BraTS20_Training_031;Axial;True;0,433608999643942;14718.0;5833.5;9019;60,03461359249152
BraTS20_Training_031;Sagittal;False;0;0.0;0.0;0;0
BraTS20_Training_032;Coronal;False;0;0.0;0.0;0;0
BraTS20_Training_032;Axial;True;0,7189304264536487;8232.5;27308.5;218;2,5955470889391594
BraTS20_Training_032;Sagittal;False;0;0.0;0.0;0;0
BraTS20_Training_033;Coronal;True;0,040757307265665454;16792.0;16696.0;1258;7,36232223327676
BraTS20_Training_033;Axial;True;0,03338449579255093;8862.0;6735.0;2184;24,19408441342639
BraTS20_Training_033;Sagittal;True;0,07073203574791162;15663.0;10837.5;4917;30,82565356403987
BraTS20_Training_034;Coronal;False;0;0.0;0.0;0;0
BraTS20_Training_034;Axial;True;0,0610829841802244;13810.5;11624.0;2997;21,381179995719485
BraTS20_Training_034;Sagittal;False;0;0.0;0.0;0;0
BraTS20_Training_035;Coronal;True;0,11902118754369717;29514.0;13735.0;16494;55,051567037148295
BraTS20_Training_035;Axial;False;0;0.0;0.0;0;0
BraTS20_Training_035;Sagittal;False;0;0.0;0.0;0;0
BraTS20_Training_036;Coronal;True;0,01278556235463818;8123.5;5399.0;2784;33,52601156069364
BraTS20_Training_036;Axial;True;0,11326957264720763;4928.5;3408.5;1589;31,3288643533123
BraTS20_Training_036;Sagittal;False;0;0.0;0.0;0;0
BraTS20_Training_037;Coronal;True;0,7681685364230177;15041.5;16292.5;2394;15,536374845869297
BraTS20_Training_037;Axial;True;0,23139645589785585;14921.5;10547.5;4665;30,78801478352693
BraTS20_Training_037;Sagittal;True;0,12061834794658874;15845.0;9555.5;6521;40,20097404598977
BraTS20_Training_038;Coronal;False;0;0.0;0.0;0;0
BraTS20_Training_038;Axial;False;0;0.0;0.0;0;0
